service_key,service_name,category,tool,url,backend_action,expected_output
rgi_glims,RGI / GLIMS Glacier Outlines,Glacier inventory,QGIS / PostGIS,https://www.glims.org/RGI/,Load glacier boundary polygons,"Glacier ID, outlines, area, basin relation"
gee,Google Earth Engine Code Editor,Optical time-series,GEE JavaScript,https://code.earthengine.google.com/,Run NDSI/NDWI script,"Snow-cover and lake maps, area CSV"
usgs,USGS EarthExplorer,Landsat source,EarthExplorer / GEE,https://earthexplorer.usgs.gov/,Search Landsat scenes,Landsat scenes for Batura/Hunza
copernicus,Copernicus Browser,Sentinel-1/2 source,Copernicus Browser / SNAP,https://browser.dataspace.copernicus.eu/,Search Sentinel scenes,Sentinel-2 optical and Sentinel-1 SAR scenes
snap,ESA SNAP,SAR/InSAR processing,SNAP Desktop,https://step.esa.int/main/download/snap-download/,Prepare Sentinel-1 workflow note,SAR pre-processing and velocity/deformation workflow
era5,Copernicus CDS ERA5-Land,Climate variables,CDS API / Python,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,Fetch temperature/precipitation context,Temperature and precipitation indicators
pmd_ffd,PMD Flood Forecasting Division River State,River/flood context,Web source / manual input,https://ffd.pmd.gov.pk/river-state,Record current river-status context,River-level or flood-status context
wapda,WAPDA River Flow,River discharge,Web source / Excel / Python,https://wapda.gov.pk/river-flow/,Record river flow observation,Discharge trend and water availability note
kobo,KoboToolbox Field Survey,Community reporting,KoboToolbox / ODK,https://www.kobotoolbox.org/,Open field survey plan,Water shortage / channel damage / local observation reports
ndma_site,NDMA Pakistan Official Website,National disaster-management source,Web source / dashboard link,https://www.ndma.gov.pk/,Open national disaster-management reference page,"Official NDMA notices, publications and national disaster-management context"
ndma_advisories,NDMA Advisories / GLOF Alerts,Warnings and advisories,Web source / manual input,https://www.ndma.gov.pk/advisories,"Check latest NDMA weather, GLOF and hazard advisories",Advisory note for dashboard preparedness/response panel
ndma_sitreps,NDMA Situation Reports (SITREPs),Disaster situation reporting,Web source / manual input,https://www.ndma.gov.pk/sitreps,Check official NDMA SITREP archive,Official disaster/event status note for comparison with basin indicators
ndma_projection,NDMA Latest Projections & Impacts,Impact projection / early warning context,Web source / manual input,https://www.ndma.gov.pk/projection-impact,Check NDMA projection and impact products,Impact projection reference for alert/explanation tab
nasa_worldview,NASA Worldview,Global satellite observation dashboard,NASA Earthdata Worldview,https://worldview.earthdata.nasa.gov/,Open global daily satellite imagery viewer,"Near-real-time global imagery layers for snow, clouds, floods and land context"
glims_viewer,GLIMS Glacier Viewer,Global glacier database/dashboard,GLIMS interactive map,https://www.glims.org/maps/glims,Open glacier outlines map viewer,Multi-temporal glacier outlines and glacier attributes
wgms_browser,WGMS Fluctuations of Glaciers Browser,Global glacier statistics dashboard,WGMS ArcGIS browser,https://experience.arcgis.com/experience/836c66d14c8b410f940355056ddb1bf8,Open WGMS glacier change browser,"Mass balance, length, area, elevation and glacier-event records"
cds_glacier_mass,Copernicus Glacier Mass Change Dataset,Global glacier mass-change data,Copernicus Climate Data Store,https://cds.climate.copernicus.eu/datasets/derived-gridded-glacier-mass-change?tab=overview,Open annual gridded glacier mass-change dataset,Global annual glacier mass change at 0.5° grid
glofas,Copernicus GloFAS,Global flood forecast dashboard,Copernicus Emergency Management Service,https://global-flood.emergency.copernicus.eu/react/,Open global flood awareness system,River flood forecast and global flood monitoring context
copernicus_mapping,Copernicus EMS On-Demand Mapping,Emergency mapping dashboard,Copernicus EMS Mapping,https://mapping.emergency.copernicus.eu/,Open emergency mapping activations portal,Emergency response and recovery maps for disaster events
google_floodhub,Google Flood Hub,AI flood forecasting dashboard,Google Flood Hub,https://sites.research.google/floods/,Open AI flood forecast map,"Riverine flood forecasts, water trends and inundation context"
